full_filename,owner_name,group_name,mode,type,prot_permissions,size_bytes,size_error
/var/guardsarm-manager,root,guardsarm-manager,750,directory,drwxr-x---,,
/var/guardsarm-manager/VERSION.json,root,guardsarm-manager,440,file,-r--r-----,,
/var/guardsarm-manager/api,root,guardsarm-manager,750,directory,drwxr-x---,,
/var/guardsarm-manager/api/configuration,root,guardsarm-manager,770,directory,drwxrwx---,,
/var/guardsarm-manager/api/configuration/api.yaml,root,guardsarm-manager,660,file,-rw-rw----,,
/var/guardsarm-manager/api/configuration/security,root,guardsarm-manager,770,directory,drwxrwx---,,
/var/guardsarm-manager/api/configuration/ssl,root,guardsarm-manager,770,directory,drwxrwx---,,
/var/guardsarm-manager/api/scripts,root,guardsarm-manager,750,directory,drwxr-x---,,
/var/guardsarm-manager/api/scripts/guardsarm_manager_apid.py,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/backup,root,guardsarm-manager,750,directory,drwxr-x---,,
/var/guardsarm-manager/backup/db,guardsarm-manager,guardsarm-manager,750,directory,drwxr-x---,,
/var/guardsarm-manager/bin,root,guardsarm-manager,750,directory,drwxr-x---,,
/var/guardsarm-manager/bin/agent_groups,root,guardsarm-manager,750,file,-rwxr-x---,,
/var/guardsarm-manager/bin/agent_upgrade,root,guardsarm-manager,750,file,-rwxr-x---,,
/var/guardsarm-manager/bin/cluster_control,root,guardsarm-manager,750,file,-rwxr-x---,,
/var/guardsarm-manager/bin/rbac_control,root,guardsarm-manager,750,file,-rwxr-x---,,
/var/guardsarm-manager/bin/verify-agent-conf,root,guardsarm-manager,750,file,-rwxr-x---,,
/var/guardsarm-manager/bin/guardsarm-manager-analysisd,root,root,750,file,-rwxr-x---,,
/var/guardsarm-manager/bin/guardsarm-manager-apid,root,guardsarm-manager,750,file,-rwxr-x---,,
/var/guardsarm-manager/bin/guardsarm-manager-authd,root,root,750,file,-rwxr-x---,,
/var/guardsarm-manager/bin/guardsarm-manager-clusterd,root,guardsarm-manager,750,file,-rwxr-x---,,
/var/guardsarm-manager/bin/guardsarm-manager-control,root,root,750,file,-rwxr-x---,,
/var/guardsarm-manager/bin/guardsarm-manager-db,root,root,750,file,-rwxr-x---,,
/var/guardsarm-manager/bin/guardsarm-manager-keystore,root,root,750,file,-rwxr-x---,,
/var/guardsarm-manager/bin/guardsarm-manager-modulesd,root,root,750,file,-rwxr-x---,,
/var/guardsarm-manager/bin/guardsarm-manager-monitord,root,root,750,file,-rwxr-x---,,
/var/guardsarm-manager/bin/guardsarm-manager-remoted,root,root,750,file,-rwxr-x---,,
/var/guardsarm-manager/etc,root,guardsarm-manager,770,directory,drwxrwx---,,
/var/guardsarm-manager/etc/client.keys,guardsarm-manager,guardsarm-manager,660,file,-rw-rw----,,
/var/guardsarm-manager/etc/guardsarm-manager-internal-options.conf,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/etc/localtime,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/etc/outputs,guardsarm-manager,guardsarm-manager,750,directory,drwxr-x---,,
/var/guardsarm-manager/etc/outputs/default,guardsarm-manager,guardsarm-manager,750,directory,drwxr-x---,,
/var/guardsarm-manager/etc/outputs/default/file-output-integrations.yml,guardsarm-manager,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/etc/outputs/default/indexer.yml,guardsarm-manager,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/etc/shared,root,guardsarm-manager,770,directory,drwxrwx---,,
/var/guardsarm-manager/etc/shared/agent-template.conf,guardsarm-manager,guardsarm-manager,660,file,-rw-rw----,,
/var/guardsarm-manager/etc/shared/default,guardsarm-manager,guardsarm-manager,770,directory,drwxrwx---,,
/var/guardsarm-manager/etc/shared/default/agent.conf,guardsarm-manager,guardsarm-manager,660,file,-rw-rw----,,
/var/guardsarm-manager/etc/sslmanager.cert,root,root,640,file,-rw-r-----,,
/var/guardsarm-manager/etc/sslmanager.key,root,root,640,file,-rw-r-----,,
/var/guardsarm-manager/etc/guardsarm-manager.conf,root,guardsarm-manager,660,file,-rw-rw----,,
/var/guardsarm-manager/framework,root,guardsarm-manager,750,directory,drwxr-x---,,
/var/guardsarm-manager/framework/scripts,root,guardsarm-manager,750,directory,drwxr-x---,,
/var/guardsarm-manager/framework/scripts/__init__.py,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/framework/scripts/agent_groups.py,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/framework/scripts/agent_upgrade.py,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/framework/scripts/cluster_control.py,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/framework/scripts/rbac_control.py,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/framework/scripts/guardsarm_manager_clusterd.py,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/framework/guardsarm,root,guardsarm-manager,750,directory,drwxr-x---,,
/var/guardsarm-manager/framework/guardsarm/__init__.py,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/framework/guardsarm/__main__.py,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/framework/guardsarm/agent.py,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/framework/guardsarm/cluster.py,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/framework/guardsarm/core,root,guardsarm-manager,750,directory,drwxr-x---,,
/var/guardsarm-manager/framework/guardsarm/core/cluster,root,guardsarm-manager,750,directory,drwxr-x---,,
/var/guardsarm-manager/framework/guardsarm/core/cluster/__init__.py,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/framework/guardsarm/core/cluster/client.py,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/framework/guardsarm/core/cluster/cluster.json,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/framework/guardsarm/core/cluster/cluster.py,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/framework/guardsarm/core/cluster/common.py,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/framework/guardsarm/core/cluster/control.py,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/framework/guardsarm/core/cluster/dapi,root,guardsarm-manager,750,directory,drwxr-x---,,
/var/guardsarm-manager/framework/guardsarm/core/cluster/dapi/__init__.py,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/framework/guardsarm/core/cluster/dapi/dapi.py,root,guardsarm-manager,640,file,-rw-r-----,,
/var/guardsarm-manager/framework/guardsarm/core/cluster/hap_helper,root,guardsarm-manager,750,directory,drwxr-x---,,
/var/guardsarm-manager/framework/guardsarm/core/cluster/hap_helper/__init__.py,root,guardsarm-manager,640,file,-rw-r-----,,
